date,TSLA_first_hour_vol,mean,std,abs_sentiment_score,news_count,is_option_expiry,is_first_trading_day,is_last_trading_day,is_last_trading_day_of_quarter,Friday,Monday,Thursday,Tuesday,Wednesday,day_total_vol
3/21/2024,2.3813682,0.035417947,0.301475743,0.224197959,20,0,0,0,0,0,0,1,0,0,69860449
3/22/2024,2.9563107,0.052770164,0.323185587,0.213256982,14,0,0,0,0,1,0,0,0,0,72373495
3/25/2024,2.5717203,0.268070315,0.386873542,0.381282469,16,0,0,0,0,0,1,0,0,0,71390247
3/26/2024,4.3728498,0.130699344,0.403222098,0.338905576,15,0,0,0,0,0,0,0,1,0,108220384
3/27/2024,2.7545976,-0.084419747,0.212875769,0.149454846,11,0,0,0,0,0,0,0,0,1,78188242
3/28/2024,2.406219,-0.007707176,0.315594908,0.234071795,9,0,0,1,1,0,0,1,0,0,71589334
4/1/2024,2.3947033,0.067039735,0.321491399,0.251262622,18,0,1,0,0,0,1,0,0,0,76089815
4/2/2024,4.5944518,0.019348781,0.310961109,0.22590911,29,0,0,0,0,0,0,0,1,0,110699924
4/3/2024,2.8452113,-0.128023887,0.301839111,0.230884811,41,0,0,0,0,0,0,0,0,1,78814484
4/4/2024,2.0654187,0.066162061,0.472378725,0.380646618,19,0,0,0,0,0,0,1,0,0,117711042
4/5/2024,2.4109286,0.137676873,0.34240375,0.239361797,13,0,0,0,0,1,0,0,0,0,132523772
4/8/2024,3.4596513,0.108078253,0.367508675,0.306512552,32,0,0,0,0,0,1,0,0,0,100517660
4/9/2024,3.8534303,-0.027732263,0.383519993,0.299344091,27,0,0,0,0,0,0,0,1,0,98104608
4/10/2024,2.972709,0.035780363,0.272754361,0.180463717,20,0,0,0,0,0,0,0,0,1,81445111
4/11/2024,2.5670244,0.003018507,0.480294636,0.387882628,9,0,0,0,0,0,0,1,0,0,90992588
4/12/2024,1.9577662,0.146859042,0.469058107,0.391136645,12,0,0,0,0,1,0,0,0,0,59101284
4/15/2024,2.9921374,0.063644112,0.274234501,0.203899259,44,0,0,0,0,0,1,0,0,0,91455795
4/16/2024,3.8351202,-0.101217883,0.3474102,0.26181842,30,0,0,0,0,0,0,0,1,0,93626662
4/17/2024,2.4995934,0.081853465,0.316451971,0.24179019,29,0,0,0,0,0,0,0,0,1,78831314
4/18/2024,3.4312166,-0.015986579,0.302267996,0.219163512,33,0,0,0,0,0,0,1,0,0,91007655
4/19/2024,2.6773639,-0.170744706,0.344646056,0.258971242,27,1,0,0,0,1,0,0,0,0,82335927
4/22/2024,4.0381924,0.042816664,0.369526656,0.274810802,88,0,0,0,0,0,1,0,0,0,102988047
4/23/2024,2.8785535,0.264405097,0.338841725,0.315125504,31,0,0,0,0,0,0,0,1,0,93274157
4/24/2024,7.3656909,0.133897103,0.373282974,0.298711224,128,0,0,0,0,0,0,0,0,1,173044970
4/25/2024,3.6579401,-0.107862115,0.369412492,0.302523567,28,0,0,0,0,0,0,1,0,0,119228148
4/26/2024,3.2563248,0.038268709,0.284712695,0.202198768,24,0,0,0,0,1,0,0,0,0,105921271
4/29/2024,7.5090478,0.133012038,0.359171004,0.293745627,104,0,0,0,0,0,1,0,0,0,234751452
4/30/2024,3.8036813,-0.056382214,0.373080655,0.298859635,51,0,0,1,0,0,0,0,1,0,120802796
5/1/2024,2.406016,0.038170124,0.451699636,0.311915847,13,0,1,0,0,0,0,0,0,1,88323352
5/2/2024,2.7836617,-0.126185133,0.460800587,0.396862907,9,0,0,0,0,0,0,1,0,0,85859984
5/3/2024,2.4000754,-0.113766146,0.285472801,0.251534818,17,0,0,0,0,1,0,0,0,0,71754032
5/6/2024,2.6129893,-0.131669416,0.337021845,0.320908424,16,0,0,0,0,0,1,0,0,0,80892198
5/7/2024,2.4290368,-0.021190742,0.310542311,0.218550408,28,0,0,0,0,0,0,0,1,0,71073045
5/8/2024,3.0845527,-0.046373743,0.437026477,0.327351992,28,0,0,0,0,0,0,0,0,1,75795859
5/9/2024,1.7247258,-0.036423421,0.356239178,0.268151312,21,0,0,0,0,0,0,1,0,0,62156253
5/10/2024,2.2622907,0.061911349,0.461775219,0.375141405,19,0,0,0,0,1,0,0,0,0,69427503
5/13/2024,2.4931464,-0.007765415,0.546945475,0.457468468,5,0,0,0,0,0,1,0,0,0,63908685
5/14/2024,2.7073084,-0.037238746,0.390857574,0.331577325,17,0,0,0,0,0,0,0,1,0,83076881
5/15/2024,3.236607,0.049069382,0.241627989,0.180068114,21,0,0,0,0,0,0,0,0,1,74876736
5/16/2024,1.9791967,-0.00369484,0.313527846,0.251489057,19,0,0,0,0,0,0,1,0,0,57149980
5/17/2024,1.5893921,0.187507511,0.354791547,0.281132457,20,1,0,0,0,1,0,0,0,0,74337788
5/20/2024,2.2238476,0.051145879,0.255610376,0.188245575,35,0,0,0,0,0,1,0,0,0,59182021
5/21/2024,2.530545,0.065898598,0.325276375,0.222390197,16,0,0,0,0,0,0,0,1,0,109110049
5/22/2024,2.8409,0.251784955,0.438784766,0.352796111,13,0,0,0,0,0,0,0,0,1,81259637
5/23/2024,2.3590223,0.080363393,0.244740745,0.180594586,22,0,0,0,0,0,0,1,0,0,67516696
5/24/2024,1.9174737,-0.080478485,0.294624104,0.232501996,15,0,0,0,0,1,0,0,0,0,62026092
5/28/2024,2.238773,-0.059263215,0.358393159,0.268643223,25,0,0,0,0,0,0,0,1,0,56749809
5/29/2024,1.687798,0.016918544,0.276791126,0.210768953,12,0,0,0,0,0,0,0,0,1,51906651
5/30/2024,2.6180175,0.077939256,0.295316908,0.240731162,19,0,0,0,0,0,0,1,0,0,74481174
