Datetime,NVDA,AMZN,AAPL,TSLA,BAC
2024-01-19 10:30:00-05:00,6937273,4045365,7573154,17953701,5015114
2024-01-19 11:30:00-05:00,8595532,4842867,5987140,12621094,4930649
2024-01-19 12:30:00-05:00,5069151,4836371,7184895,10248404,3988004
2024-01-19 13:30:00-05:00,5695504,4530125,6850175,9433263,5697036
2024-01-19 14:30:00-05:00,5461776,4822272,6438261,12373451,6101464
2024-01-19 15:30:00-05:00,5139940,5484921,5716572,6739589,8348133
2024-01-22 09:30:00-05:00,16818994,12752972,14810964,35280778,11207257
2024-01-22 10:30:00-05:00,8607466,7304008,10776514,23286715,5143517
2024-01-22 11:30:00-05:00,4394654,3706290,5000034,11817756,3597746
2024-01-22 12:30:00-05:00,3168102,2971778,5093193,11203065,2796249
2024-01-22 13:30:00-05:00,3895400,2999119,4701837,13117201,2502909
2024-01-22 14:30:00-05:00,2520995,2872154,4425371,11640452,3383037
2024-01-22 15:30:00-05:00,2946422,3489524,4882197,7417726,5812841
2024-01-23 09:30:00-05:00,10650804,8029896,10604009,36119303,6177714
2024-01-23 10:30:00-05:00,4454181,3313941,5112775,17756881,3549795
2024-01-23 11:30:00-05:00,2562631,3257524,3643345,12002644,2509309
2024-01-23 12:30:00-05:00,1930547,4086285,3772811,9964318,2816069
2024-01-23 13:30:00-05:00,2101189,3374934,3816695,11331526,2543917
2024-01-23 14:30:00-05:00,3274760,3560263,4587060,8826781,3405389
2024-01-23 15:30:00-05:00,2760311,4243049,5178142,6464794,5565775
2024-01-24 09:30:00-05:00,15267540,11721131,11411670,30117905,7102440
2024-01-24 10:30:00-05:00,7556754,5705676,6599536,16282836,4493383
2024-01-24 11:30:00-05:00,4832062,5724860,6119557,11432940,5010278
2024-01-24 12:30:00-05:00,8309747,4676454,5360074,10320631,3812997
2024-01-24 13:30:00-05:00,6712153,3675534,4601531,12912991,2398657
2024-01-24 14:30:00-05:00,7275934,3345399,4745911,13465828,3625768
2024-01-24 15:30:00-05:00,3742686,4846775,4950346,9367148,4710534
2024-01-25 09:30:00-05:00,13276254,12604132,9104188,70997069,6092133
2024-01-25 10:30:00-05:00,5924704,5327578,6222253,26437743,4056764
2024-01-25 11:30:00-05:00,5867831,5104059,5865883,26063674,4060015
2024-01-25 12:30:00-05:00,5579607,3741712,7792813,23519514,3582185
2024-01-25 13:30:00-05:00,6446385,4316367,5786472,17372669,4510108
2024-01-25 14:30:00-05:00,4941540,3401515,5204479,17006951,5129713
2024-01-25 15:30:00-05:00,2909986,4663430,5031642,11003488,9277819
2024-01-26 09:30:00-05:00,12214046,11121271,8196843,39118435,8108737
2024-01-26 10:30:00-05:00,6120077,6095226,3865162,16907810,3268837
2024-01-26 11:30:00-05:00,4887593,9856652,3732100,10872421,2876528
2024-01-26 12:30:00-05:00,4008152,3871376,6154152,10801008,2859546
2024-01-26 13:30:00-05:00,3409289,3802148,3375089,8946872,2298453
2024-01-26 14:30:00-05:00,3768031,4495978,3467304,10014292,3307471
2024-01-26 15:30:00-05:00,2640645,4193758,6951830,7488537,4077518
2024-01-29 09:30:00-05:00,9502493,9303438,11790966,30072189,4418641
2024-01-29 10:30:00-05:00,4507985,4667697,4793101,28532747,3359370
2024-01-29 11:30:00-05:00,3022677,5162174,4112191,17491021,2397428
2024-01-29 12:30:00-05:00,1852068,4669812,2704473,12171668,2167948
2024-01-29 13:30:00-05:00,3144518,3884716,3065266,9023655,1839392
2024-01-29 14:30:00-05:00,5001895,4471459,5766967,12615585,4032576
2024-01-29 15:30:00-05:00,3483561,4807716,5062975,8962212,4723280
2024-01-30 09:30:00-05:00,12550935,10814409,10879513,35160197,14953352
2024-01-30 10:30:00-05:00,4905526,4825223,12493978,20099962,8506946
2024-01-30 11:30:00-05:00,5032649,5011751,4796471,14135090,7612267
2024-01-30 12:30:00-05:00,5254259,3637546,4738358,11681428,5506000
2024-01-30 13:30:00-05:00,3638639,3150774,4840030,9837273,4940421
2024-01-30 14:30:00-05:00,3575092,3835030,4500321,6735741,4828889
2024-01-30 15:30:00-05:00,2673235,4806603,5122448,5126552,7145478
2024-01-31 09:30:00-05:00,11412494,12721934,12426052,25540005,11443718
2024-01-31 10:30:00-05:00,8058493,6071720,5060007,14153400,6727213
2024-01-31 11:30:00-05:00,4267856,2991408,3731068,7848447,4741619
2024-01-31 12:30:00-05:00,3293875,3346013,3297036,8919731,4067468
2024-01-31 13:30:00-05:00,4146853,3437261,4331208,11193589,4673683
2024-01-31 14:30:00-05:00,7668877,5887036,6707892,19831156,8418666
2024-01-31 15:30:00-05:00,3390201,6663165,6428646,10186033,7777100
2024-02-01 09:30:00-05:00,10325451,14090672,12493823,24167624,13981193
2024-02-01 10:30:00-05:00,5487912,5651521,5815982,19631385,12973727
2024-02-01 11:30:00-05:00,3858331,5157043,4622455,11545095,7010497
2024-02-01 12:30:00-05:00,3850151,6054078,4421852,9528142,4764580
2024-02-01 13:30:00-05:00,3402407,5174395,4416220,8379575,2952865
2024-02-01 14:30:00-05:00,4088715,7628860,5947190,9028017,3602128
2024-02-01 15:30:00-05:00,3016432,8960054,6843756,6020525,5686855
2024-02-02 09:30:00-05:00,14432047,43625223,35096943,30650463,8743537
2024-02-02 10:30:00-05:00,5225743,14209342,15943080,16019695,5636779
2024-02-02 11:30:00-05:00,8179933,12682509,8987019,10534957,4428428
2024-02-02 12:30:00-05:00,5693234,9503388,8500269,15549902,4390014
2024-02-02 13:30:00-05:00,3898231,7610967,5735681,15300264,3697229
2024-02-02 14:30:00-05:00,4251081,9395412,7311261,11845053,4102948
2024-02-02 15:30:00-05:00,3290336,9620081,7701037,6809450,5229344
2024-02-05 09:30:00-05:00,24109963,17229217,21074171,33863217,7136954
2024-02-05 10:30:00-05:00,9631229,5978103,7579937,30794770,4266765
2024-02-05 11:30:00-05:00,7254954,5558963,6730072,16401063,8742125
2024-02-05 12:30:00-05:00,5901401,4452607,7252942,16207730,2981378
2024-02-05 13:30:00-05:00,4500914,3812611,4527382,11308840,2473446
2024-02-05 14:30:00-05:00,7591983,4631137,6093208,13901899,3940701
2024-02-05 15:30:00-05:00,5145660,5351488,5767234,7640386,5165811
2024-02-06 09:30:00-05:00,20596167,10311841,11081527,42763774,6770814
2024-02-06 10:30:00-05:00,7715868,4483375,6268747,19622845,3464119
2024-02-06 11:30:00-05:00,10702101,4716560,4757028,15865368,2643180
2024-02-06 12:30:00-05:00,6537650,2984142,3663298,10643721,2517654
2024-02-06 13:30:00-05:00,7512084,2884513,2989009,11170855,2410037
2024-02-06 14:30:00-05:00,8455480,3756071,3103015,12141109,3546260
2024-02-06 15:30:00-05:00,4789079,4264453,4836714,7143401,2808782
2024-02-07 09:30:00-05:00,15071810,12398201,13070939,38283416,5749384
2024-02-07 10:30:00-05:00,7008373,5469398,6941625,19049940,3522494
2024-02-07 11:30:00-05:00,4508981,4114497,4142050,8644742,2799309
